[1|K0a1]
[2*L^-2*M^4 - 2*L^-4*M^6 - 4*L^-2*M^2 + 9*L^-4*M^4 + 2*L^-2 - 15*L^-4*M^2 + 3*L^-6*M^4 + 8*L^-4 - 8*L^-6*M^2 + 6*L^-6 - L^-8*M^2 + L^-8|mK11n46]
[2*L^-2*M^4 - 2*L^-4*M^6 - 5*L^-2*M^2 + 10*L^-4*M^4 + 3*L^-2 - 18*L^-4*M^2 + 3*L^-6*M^4 + 11*L^-4 - 10*L^-6*M^2 + 9*L^-6 - L^-8*M^2 + 2*L^-8|K11n75]
[2*L^-2*M^4 - 2*L^-4*M^6 - 5*L^-2*M^2 + 10*L^-4*M^4 + 3*L^-2 - 18*L^-4*M^2 + 3*L^-6*M^4 + 11*L^-4 - 10*L^-6*M^2 + 9*L^-6 - L^-8*M^2 + 2*L^-8|mK11n71]
[-2*L^4*M^2 + 2*L^2*M^4 + 2*L^4 - 5*L^2*M^2 - M^4 + 3*L^2 + M^2 + 1 + L^-2*M^2 - L^-2|K11n117]
[2*L^4*M^2 - 3*L^2*M^4 + M^6 - 2*L^4 + 7*L^2*M^2 - 3*M^4 - 5*L^2 + 5*M^2 - L^-2*M^4 - 3 + L^-2*M^2 - L^-2|K11n179]
[2*L^4*M^2 - 3*L^2*M^4 + M^6 - 3*L^4 + 8*L^2*M^2 - 3*M^4 - 6*L^2 + 4*M^2 - L^-2*M^4 - 2 + L^-2*M^2|mK11n98]
[2*L^-4*M^4 - L^-6*M^6 - 4*L^-4*M^2 + 2*L^-6*M^4 + L^-4 + 2*L^-8*M^4 - L^-6 - 3*L^-8*M^2 - L^-10*M^2 + L^-10|K11n108]
[2*L^-4*M^4 - L^-6*M^6 - 5*L^-4*M^2 + 3*L^-6*M^4 + 2*L^-4 - 2*L^-6*M^2 + L^-8*M^4 - L^-8*M^2 - L^-8|K10n34]
[2*L^-4*M^4 - L^-6*M^6 - 5*L^-4*M^2 + 3*L^-6*M^4 + 2*L^-4 - 3*L^-6*M^2 + 2*L^-8*M^4 + 2*L^-6 - 5*L^-8*M^2 + 3*L^-8 - L^-10*M^2 + 2*L^-10|K11n109]
[2*L^-4*M^4 - L^-6*M^6 - 5*L^-4*M^2 + 3*L^-6*M^4 + 2*L^-4 - 3*L^-6*M^2 + 2*L^-8*M^4 + L^-6 - 4*L^-8*M^2 + L^-8 - L^-10*M^2 + L^-10|K11n89]
[2*L^-4*M^4 - L^-6*M^6 - 5*L^-4*M^2 + 3*L^-6*M^4 + 3*L^-4 - 4*L^-6*M^2 + 2*L^-8*M^4 + 2*L^-6 - 3*L^-8*M^2 - L^-10*M^2|mK11n105]
[2*L^-4*M^4 - L^-6*M^6 - 5*L^-4*M^2 + 3*L^-6*M^4 + 3*L^-4 - 4*L^-6*M^2 + 2*L^-8*M^4 + 3*L^-6 - 4*L^-8*M^2 + 2*L^-8 - L^-10*M^2 + L^-10|K11n10]
[2*L^-4*M^4 - L^-6*M^6 - 5*L^-4*M^2 + 3*L^-6*M^4 + 3*L^-4 - 4*L^-6*M^2 + 2*L^-8*M^4 + 3*L^-6 - 4*L^-8*M^2 + 2*L^-8 - L^-10*M^2 + L^-10|mK11n144]
[2*L^-4*M^4 - L^-6*M^6 - 6*L^-4*M^2 + 4*L^-6*M^4 + 3*L^-4 - 5*L^-6*M^2 + L^-8*M^4 + 3*L^-6 - 3*L^-8*M^2 + 2*L^-8 + L^-10|mK11n95]
[2*L^-4*M^4 - L^-6*M^6 - 6*L^-4*M^2 + 4*L^-6*M^4 + 3*L^-4 - 6*L^-6*M^2 + 2*L^-8*M^4 + 4*L^-6 - 6*L^-8*M^2 + 4*L^-8 - L^-10*M^2 + 2*L^-10|K11n14]
[2*L^-4*M^4 - L^-6*M^6 - 6*L^-4*M^2 + 4*L^-6*M^4 + 4*L^-4 - 6*L^-6*M^2 + L^-8*M^4 + 4*L^-6 - 2*L^-8*M^2 + L^-8|mK10n26]
[2*L^-4*M^4 - L^-6*M^6 - 6*L^-4*M^2 + 4*L^-6*M^4 + 4*L^-4 - 7*L^-6*M^2 + 2*L^-8*M^4 + 5*L^-6 - 5*L^-8*M^2 + 3*L^-8 - L^-10*M^2 + L^-10|mK11n59]
