[1|K0a1]
[L^2*M^4 - 2*M^6 + L^-2*M^8 - 2*L^2*M^2 + 8*M^4 - 6*L^-2*M^6 + L^2 - 11*M^2 + 15*L^-2*M^4 - L^-4*M^6 + 5 - 16*L^-2*M^2 + 4*L^-4*M^4 + 5*L^-2 - 6*L^-4*M^2 + 2*L^-4|K11a232]
[L^2*M^4 - 2*M^6 + L^-2*M^8 - 2*L^2*M^2 + 8*M^4 - 6*L^-2*M^6 + L^2 - 11*M^2 + 15*L^-2*M^4 - L^-4*M^6 + 6 - 17*L^-2*M^2 + 4*L^-4*M^4 + 7*L^-2 - 6*L^-4*M^2 + 3*L^-4|K11a158]
[L^2*M^4 - 2*M^6 + L^-2*M^8 - 3*L^2*M^2 + 8*M^4 - 5*L^-2*M^6 + 2*L^2 - 10*M^2 + 9*L^-2*M^4 - L^-4*M^6 + 5 - 7*L^-2*M^2 + 3*L^-4*M^4 + 2*L^-2 - 2*L^-4*M^2|mK11a163]
[L^2*M^4 - 2*M^6 + L^-2*M^8 - 3*L^2*M^2 + 8*M^4 - 5*L^-2*M^6 + 2*L^2 - 11*M^2 + 10*L^-2*M^4 - L^-4*M^6 + 6 - 10*L^-2*M^2 + 3*L^-4*M^4 + 4*L^-2 - 3*L^-4*M^2 + L^-4|mK11a252]
[L^2*M^4 - 2*M^6 + L^-2*M^8 - 3*L^2*M^2 + 8*M^4 - 5*L^-2*M^6 + 2*L^2 - 11*M^2 + 10*L^-2*M^4 - L^-4*M^6 + 6 - 10*L^-2*M^2 + 3*L^-4*M^4 + 4*L^-2 - 3*L^-4*M^2 + L^-4|mK11a254]
[L^2*M^4 - 2*M^6 + L^-2*M^8 - 3*L^2*M^2 + 8*M^4 - 5*L^-2*M^6 + L^2 - 8*M^2 + 8*L^-2*M^4 - L^-4*M^6 + 2 - 4*L^-2*M^2 + 3*L^-4*M^4 - L^-2 - L^-4*M^2 - L^-4|mK11a68]
[L^2*M^4 - 2*M^6 + L^-2*M^8 - 3*L^2*M^2 + 9*M^4 - 6*L^-2*M^6 + 2*L^2 - 13*M^2 + 14*L^-2*M^4 - L^-4*M^6 + 6 - 14*L^-2*M^2 + 4*L^-4*M^4 + 4*L^-2 - 5*L^-4*M^2 + L^-4|K11a108]
[L^2*M^4 - 2*M^6 + L^-2*M^8 - 3*L^2*M^2 + 9*M^4 - 6*L^-2*M^6 + 2*L^2 - 13*M^2 + 14*L^-2*M^4 - L^-4*M^6 + 7 - 15*L^-2*M^2 + 4*L^-4*M^4 + 6*L^-2 - 5*L^-4*M^2 + 2*L^-4|K11a33]
[L^2*M^4 - 2*M^6 + L^-2*M^8 - 3*L^2*M^2 + 9*M^4 - 6*L^-2*M^6 + 2*L^2 - 13*M^2 + 14*L^-2*M^4 - L^-4*M^6 + 7 - 15*L^-2*M^2 + 4*L^-4*M^4 + 6*L^-2 - 5*L^-4*M^2 + 2*L^-4|K11a82]
[L^2*M^4 - 2*M^6 + L^-2*M^8 - 3*L^2*M^2 + 9*M^4 - 6*L^-2*M^6 + 2*L^2 - 14*M^2 + 15*L^-2*M^4 - L^-4*M^6 + 8 - 18*L^-2*M^2 + 4*L^-4*M^4 + 8*L^-2 - 6*L^-4*M^2 + 3*L^-4|K11a15]
[L^2*M^4 - 2*M^6 + L^-2*M^8 - 3*L^2*M^2 + 9*M^4 - 6*L^-2*M^6 + L^2 - 11*M^2 + 13*L^-2*M^4 - L^-4*M^6 + 4 - 12*L^-2*M^2 + 4*L^-4*M^4 + 3*L^-2 - 4*L^-4*M^2 + L^-4|K11a174]
[L^2*M^4 - 2*M^6 + L^-2*M^8 - 3*L^2*M^2 + 9*M^4 - 6*L^-2*M^6 + L^2 - 12*M^2 + 14*L^-2*M^4 - L^-4*M^6 + 5 - 15*L^-2*M^2 + 4*L^-4*M^4 + 5*L^-2 - 5*L^-4*M^2 + 2*L^-4|mK11a86]
[L^2*M^4 - 2*M^6 + L^-2*M^8 - 4*L^2*M^2 + 10*M^4 - 6*L^-2*M^6 + 3*L^2 - 15*M^2 + 13*L^-2*M^4 - L^-4*M^6 + 8 - 13*L^-2*M^2 + 4*L^-4*M^4 + 5*L^-2 - 4*L^-4*M^2 + L^-4|K11a55]
[L^2*M^4 - 2*M^6 + L^-2*M^8 - 4*L^2*M^2 + 10*M^4 - 6*L^-2*M^6 + 4*L^2 - 18*M^2 + 15*L^-2*M^4 - L^-4*M^6 + 12 - 19*L^-2*M^2 + 4*L^-4*M^4 + 10*L^-2 - 6*L^-4*M^2 + 3*L^-4|K11a231]
[L^2*M^4 - 2*M^6 + L^-2*M^8 - 4*L^2*M^2 + 10*M^4 - 6*L^-2*M^6 + 4*L^2 - 18*M^2 + 15*L^-2*M^4 - L^-4*M^6 + 12 - 19*L^-2*M^2 + 4*L^-4*M^4 + 10*L^-2 - 6*L^-4*M^2 + 3*L^-4|K11a57]
[L^2*M^4 - 2*M^6 + L^-2*M^8 - 4*L^2*M^2 + 11*M^4 - 7*L^-2*M^6 + 3*L^2 - 18*M^2 + 18*L^-2*M^4 - L^-4*M^6 + 9 - 20*L^-2*M^2 + 5*L^-4*M^4 + 7*L^-2 - 7*L^-4*M^2 + 2*L^-4|K3a1,mK8a2]
[L^2*M^4 - 2*M^6 + L^-2*M^8 - 4*L^2*M^2 + 11*M^4 - 7*L^-2*M^6 + 4*L^2 - 20*M^2 + 19*L^-2*M^4 - L^-4*M^6 + 13 - 24*L^-2*M^2 + 5*L^-4*M^4 + 12*L^-2 - 8*L^-4*M^2 + 4*L^-4|K3a1,mK8a5]
[L^2*M^4 - 2*M^6 + L^-2*M^8 - L^2*M^2 + 6*M^4 - 5*L^-2*M^6 - L^2 - 4*M^2 + 10*L^-2*M^4 - L^-4*M^6 - 8*L^-2*M^2 + 3*L^-4*M^4 + L^-2 - 3*L^-4*M^2 + L^-4|mK11a269]
[-L^-2*M^4 + L^-4*M^6 + 2*L^-2*M^2 - 2*L^-4*M^4 - L^-6*M^6 - 2*L^-4*M^2 + 3*L^-6*M^4 + 3*L^-4 - 3*L^-6*M^2 + L^-8*M^4 + 3*L^-6 - 3*L^-8*M^2 + 2*L^-8 + L^-10|mK11n175]
[-L^-2*M^4 + L^-4*M^6 + 2*L^-2*M^2 - 2*L^-4*M^4 - L^-6*M^6 - L^-2 + 2*L^-6*M^4 + L^-4 - 2*L^-6*M^2 + 2*L^-8*M^4 + 2*L^-6 - 4*L^-8*M^2 + 2*L^-8 - L^-10*M^2 + L^-10|mK11a204]
[-L^-2*M^4 + L^-4*M^6 + 2*L^-2*M^2 - 2*L^-4*M^4 - L^-6*M^6 - L^-2 + 2*L^-6*M^4 + L^-4 - L^-6*M^2 + L^-8*M^4 + L^-6 - L^-8*M^2|mK10a92]
[-L^-2*M^4 + L^-4*M^6 + 2*L^-2*M^2 - 2*L^-4*M^4 - L^-6*M^6 - L^-2 + 2*L^-6*M^4 - L^-6*M^2 + 2*L^-8*M^4 + L^-6 - 5*L^-8*M^2 + 3*L^-8 - L^-10*M^2 + 2*L^-10|K11a63]
[-L^-2*M^4 + L^-4*M^6 + 2*L^-2*M^2 - 2*L^-4*M^4 - L^-6*M^6 - L^-2 - L^-4*M^2 + 3*L^-6*M^4 + 2*L^-4 - 4*L^-6*M^2 + L^-8*M^4 + 3*L^-6 - 2*L^-8*M^2 + L^-8|mK10a111]
[-L^-2*M^4 + L^-4*M^6 + 2*L^-2*M^2 - 2*L^-4*M^4 - L^-6*M^6 - L^-2 - L^-4*M^2 + 3*L^-6*M^4 + 3*L^-4 - 5*L^-6*M^2 + L^-8*M^4 + 5*L^-6 - 2*L^-8*M^2 + 2*L^-8|mK10a98]
[-L^-2*M^4 + L^-4*M^6 + 2*L^-2*M^2 - 2*L^-4*M^4 - L^-6*M^6 - L^-2 + L^-4*M^2 + L^-6*M^4 - L^-4 + 2*L^-6*M^2 + 2*L^-8*M^4 - 2*L^-6 - 3*L^-8*M^2 - L^-10*M^2 + L^-10|K11a120]
[-L^-2*M^4 + L^-4*M^6 + 2*L^-2*M^2 - 2*L^-4*M^4 - L^-6*M^6 - L^-2 + L^-4*M^2 + L^-6*M^4 + L^-6*M^2 + 2*L^-8*M^4 - 3*L^-8*M^2 + L^-8 - L^-10*M^2 + L^-10|K11a48]
[-L^-2*M^4 + L^-4*M^6 + 2*L^-2*M^2 - 2*L^-4*M^4 - L^-6*M^6 - L^-2 + L^-4*M^2 + L^-6*M^4 + L^-6*M^2 + 2*L^-8*M^4 - L^-6 - 2*L^-8*M^2 - L^-8 - L^-10*M^2|mK11a117]
[-L^-2*M^4 + L^-4*M^6 + 2*L^-2*M^2 - 2*L^-4*M^4 - L^-6*M^6 - L^-4*M^2 + 2*L^-6*M^4 + 2*L^-4 - L^-6*M^2 + 2*L^-8*M^4 + 2*L^-6 - 5*L^-8*M^2 + 3*L^-8 - L^-10*M^2 + 2*L^-10|K11a143]
[-L^-2*M^4 + L^-4*M^6 + 2*L^-2*M^2 - 2*L^-4*M^4 - L^-6*M^6 - L^-4*M^2 + 2*L^-6*M^4 + 2*L^-4 - L^-6*M^2 + 2*L^-8*M^4 + L^-6 - 4*L^-8*M^2 + L^-8 - L^-10*M^2 + L^-10|mK11a309]
[-L^-2*M^4 + L^-4*M^6 + 2*L^-2*M^2 - 2*L^-4*M^4 - L^-6*M^6 - L^-4*M^2 + 2*L^-6*M^4 + L^-4 + 2*L^-8*M^4 - 5*L^-8*M^2 + 2*L^-8 - L^-10*M^2 + 2*L^-10|K11a207]
[-L^-2*M^4 + L^-4*M^6 + 2*L^-2*M^2 - 2*L^-4*M^4 - L^-6*M^6 + L^-6*M^4 + L^-4 + 2*L^-6*M^2 + 2*L^-8*M^4 - L^-6 - 3*L^-8*M^2 - L^-10*M^2 + L^-10|K11a208]
[-L^-2*M^4 + L^-4*M^6 + 2*L^-2*M^2 - 3*L^-4*M^4 + 2*L^-4*M^2 - 3*L^-6*M^4 + 8*L^-6*M^2 - 4*L^-6 + 2*L^-8*M^2 - 3*L^-8|K11n137]
[-L^-2*M^4 + L^-4*M^6 + 2*L^-2*M^2 - 3*L^-4*M^4 - L^-2 + 2*L^-4*M^2 - 2*L^-6*M^4 + 4*L^-6*M^2 - L^-6 + L^-8*M^2 - L^-8|K11n8]
[-L^-2*M^4 + L^-4*M^6 + 2*L^-2*M^2 - 3*L^-4*M^4 - L^-2 + 3*L^-4*M^2 - 3*L^-6*M^4 - L^-4 + 7*L^-6*M^2 - 3*L^-6 + 2*L^-8*M^2 - 2*L^-8|K11n103]
[-L^-2*M^4 + L^-4*M^6 + 2*L^-2*M^2 - 3*L^-4*M^4 - L^-2 + 3*L^-4*M^2 - 3*L^-6*M^4 - L^-4 + 7*L^-6*M^2 - 4*L^-6 + 3*L^-8*M^2 - 4*L^-8 - L^-10|mK10a78]
[-L^-2*M^4 + L^-4*M^6 + 2*L^-2*M^2 - 3*L^-4*M^4 - L^-2 + L^-4*M^2 - L^-6*M^4 + 2*L^-4 + 3*L^-6 + L^-8|mK11n164]
[-L^-2*M^4 + L^-4*M^6 + 2*L^-2*M^2 - 3*L^-4*M^4 + L^-4*M^2 - 2*L^-6*M^4 + L^-4 + 5*L^-6*M^2 - 2*L^-6 + L^-8*M^2 - 2*L^-8|K11n121]
[L^-2*M^4 - L^-4*M^6 - 2*L^-2*M^2 + 5*L^-4*M^4 - 8*L^-4*M^2 + L^-6*M^4 + 3*L^-4 - 3*L^-6*M^2 + 2*L^-6|K10n20]
[L^-2*M^4 - L^-4*M^6 - 2*L^-2*M^2 + 5*L^-4*M^4 + L^-2 - 10*L^-4*M^2 + 2*L^-6*M^4 + 6*L^-4 - 6*L^-6*M^2 + 5*L^-6 - L^-8*M^2 + L^-8|mK11n54]
[L^-2*M^4 - L^-4*M^6 - 2*L^-2*M^2 + 5*L^-4*M^4 + L^-2 - 9*L^-4*M^2 + L^-6*M^4 + 5*L^-4 - 3*L^-6*M^2 + 3*L^-6|K10n25]
[-L^-2*M^4 + L^-4*M^6 + 2*L^-2*M^2 - L^-4*M^4 - 2*L^-6*M^6 - 3*L^-4*M^2 + 6*L^-6*M^4 + 2*L^-4 - 5*L^-6*M^2 + 3*L^-8*M^4 + 2*L^-6 - 7*L^-8*M^2 + 3*L^-8 - L^-10*M^2 + 2*L^-10|K11a321]
[-L^-2*M^4 + L^-4*M^6 + 2*L^-2*M^2 - L^-4*M^4 - 2*L^-6*M^6 - 3*L^-4*M^2 + 6*L^-6*M^4 + 3*L^-4 - 6*L^-6*M^2 + 3*L^-8*M^4 + 3*L^-6 - 6*L^-8*M^2 + 2*L^-8 - L^-10*M^2 + L^-10|mK11a344]
[-L^-2*M^4 + L^-4*M^6 + 2*L^-2*M^2 - L^-4*M^4 - 2*L^-6*M^6 - 4*L^-4*M^2 + 7*L^-6*M^4 + 3*L^-4 - 8*L^-6*M^2 + 3*L^-8*M^4 + 4*L^-6 - 8*L^-8*M^2 + 4*L^-8 - L^-10*M^2 + 2*L^-10|K11a295]
[-L^-2*M^4 + L^-4*M^6 + 2*L^-2*M^2 - L^-4*M^4 - 2*L^-6*M^6 - L^-2 - 2*L^-4*M^2 + 6*L^-6*M^4 + 2*L^-4 - 7*L^-6*M^2 + 3*L^-8*M^4 + 3*L^-6 - 5*L^-8*M^2 + L^-8 - L^-10*M^2|mK11a100]
[-L^-2*M^4 + L^-4*M^6 + 2*L^-2*M^2 - L^-4*M^4 - 2*L^-6*M^6 - L^-2 - 2*L^-4*M^2 + 6*L^-6*M^4 + 2*L^-4 - 7*L^-6*M^2 + 3*L^-8*M^4 + 4*L^-6 - 6*L^-8*M^2 + 3*L^-8 - L^-10*M^2 + L^-10|mK11a116]
[-L^-2*M^4 + L^-4*M^6 + 2*L^-2*M^2 - L^-4*M^4 - 2*L^-6*M^6 - L^-2 - 2*L^-4*M^2 + 6*L^-6*M^4 + 2*L^-4 - 7*L^-6*M^2 + 3*L^-8*M^4 + 4*L^-6 - 6*L^-8*M^2 + 3*L^-8 - L^-10*M^2 + L^-10|mK11a2]
[-L^-2*M^4 + L^-4*M^6 + 2*L^-2*M^2 - L^-4*M^4 - 2*L^-6*M^6 - L^-2 - 2*L^-4*M^2 + 6*L^-6*M^4 + L^-4 - 6*L^-6*M^2 + 3*L^-8*M^4 + 3*L^-6 - 7*L^-8*M^2 + 4*L^-8 - L^-10*M^2 + 2*L^-10|mK11a275]
[-L^-2*M^4 + L^-4*M^6 + 2*L^-2*M^2 - L^-4*M^4 - 2*L^-6*M^6 - L^-2 - 3*L^-4*M^2 + 7*L^-6*M^4 + 2*L^-4 - 9*L^-6*M^2 + 3*L^-8*M^4 + 5*L^-6 - 8*L^-8*M^2 + 5*L^-8 - L^-10*M^2 + 2*L^-10|mK11a304]
[-L^-2*M^4 + L^-4*M^6 + 2*L^-2*M^2 - L^-4*M^4 - 2*L^-6*M^6 - L^-2 - 3*L^-4*M^2 + 7*L^-6*M^4 + 3*L^-4 - 10*L^-6*M^2 + 3*L^-8*M^4 + 6*L^-6 - 7*L^-8*M^2 + 4*L^-8 - L^-10*M^2 + L^-10|mK11a31]
[-L^-2*M^4 + L^-4*M^6 + 2*L^-2*M^2 - L^-4*M^4 - 2*L^-6*M^6 - L^-2 - L^-4*M^2 + 5*L^-6*M^4 - 3*L^-6*M^2 + 3*L^-8*M^4 - 5*L^-8*M^2 + L^-8 - L^-10*M^2 + L^-10|mK11a213]
[-L^-2*M^4 + L^-4*M^6 + 2*L^-2*M^2 - L^-4*M^4 - 2*L^-6*M^6 - L^-2 - L^-4*M^2 + 5*L^-6*M^4 + L^-4 - 4*L^-6*M^2 + 3*L^-8*M^4 + L^-6 - 4*L^-8*M^2 - L^-10*M^2|mK11a212]
[-L^-2*M^4 + L^-4*M^6 + 3*L^-2*M^2 - 2*L^-4*M^4 - 2*L^-6*M^6 - 2*L^-2 + 7*L^-6*M^4 - 8*L^-6*M^2 + 3*L^-8*M^4 + 3*L^-6 - 7*L^-8*M^2 + 3*L^-8 - L^-10*M^2 + L^-10|mK11a105]
[-L^-2*M^4 + L^-4*M^6 + 3*L^-2*M^2 - 2*L^-4*M^4 - 2*L^-6*M^6 - 2*L^-2 + 7*L^-6*M^4 - 8*L^-6*M^2 + 3*L^-8*M^4 + 4*L^-6 - 8*L^-8*M^2 + 5*L^-8 - L^-10*M^2 + 2*L^-10|mK11a49]
[-L^-2*M^4 + L^-4*M^6 + 3*L^-2*M^2 - 2*L^-4*M^4 - 2*L^-6*M^6 - 2*L^-2 + 7*L^-6*M^4 + L^-4 - 9*L^-6*M^2 + 3*L^-8*M^4 + 5*L^-6 - 7*L^-8*M^2 + 4*L^-8 - L^-10*M^2 + L^-10|mK11a20]
[-L^-2*M^4 + L^-4*M^6 + 3*L^-2*M^2 - 2*L^-4*M^4 - 2*L^-6*M^6 - L^-2 - 2*L^-4*M^2 + 8*L^-6*M^4 + 2*L^-4 - 10*L^-6*M^2 + 3*L^-8*M^4 + 5*L^-6 - 9*L^-8*M^2 + 5*L^-8 - L^-10*M^2 + 2*L^-10|mK11a60]
[-L^-2*M^4 + L^-4*M^6 + 3*L^-2*M^2 - 3*L^-4*M^4 - L^-6*M^6 - 2*L^-2 + 2*L^-4*M^2 + 3*L^-6*M^4 - 3*L^-6*M^2 + L^-8*M^4 + 2*L^-6 - 2*L^-8*M^2 + L^-8|mK10a25]
[-L^-2*M^4 + L^-4*M^6 + 3*L^-2*M^2 - 3*L^-4*M^4 - L^-6*M^6 - 2*L^-2 + 2*L^-4*M^2 + 3*L^-6*M^4 - 3*L^-6*M^2 + L^-8*M^4 + 2*L^-6 - 2*L^-8*M^2 + L^-8|mK10a56]
[-L^-2*M^4 + L^-4*M^6 + 3*L^-2*M^2 - 3*L^-4*M^4 - L^-6*M^6 - 2*L^-2 + 2*L^-4*M^2 + 3*L^-6*M^4 - 4*L^-6*M^2 + 2*L^-8*M^4 + 3*L^-6 - 5*L^-8*M^2 + 3*L^-8 - L^-10*M^2 + L^-10|mK5a2,mK6a2]
[-L^-2*M^4 + L^-4*M^6 + 3*L^-2*M^2 - 3*L^-4*M^4 - L^-6*M^6 - 2*L^-2 + 2*L^-4*M^2 + 3*L^-6*M^4 - L^-4 - 2*L^-6*M^2 + L^-8*M^4 - 2*L^-8*M^2|mK10a39]
[-L^-2*M^4 + L^-4*M^6 + 3*L^-2*M^2 - 3*L^-4*M^4 - L^-6*M^6 - 2*L^-2 + 2*L^-4*M^2 + 3*L^-6*M^4 - L^-4 - 2*L^-6*M^2 + L^-8*M^4 + L^-6 - 3*L^-8*M^2 + 2*L^-8 + L^-10|mK11n2]
[-L^-2*M^4 + L^-4*M^6 + 3*L^-2*M^2 - 3*L^-4*M^4 - L^-6*M^6 - 2*L^-2 + 2*L^-4*M^2 + 3*L^-6*M^4 - L^-4 - 3*L^-6*M^2 + 2*L^-8*M^4 + 2*L^-6 - 6*L^-8*M^2 + 4*L^-8 - L^-10*M^2 + 2*L^-10|mK11a260]
[-L^-2*M^4 + L^-4*M^6 + 3*L^-2*M^2 - 3*L^-4*M^4 - L^-6*M^6 - 2*L^-2 + 2*L^-4*M^2 + 3*L^-6*M^4 + L^-4 - 5*L^-6*M^2 + 2*L^-8*M^4 + 5*L^-6 - 5*L^-8*M^2 + 4*L^-8 - L^-10*M^2 + L^-10|mK3a1,mK8a11]
[-L^-2*M^4 + L^-4*M^6 + 3*L^-2*M^2 - 3*L^-4*M^4 - L^-6*M^6 - 2*L^-2 + 3*L^-4*M^2 + 2*L^-6*M^4 - 2*L^-4 + 2*L^-8*M^4 - L^-6 - 4*L^-8*M^2 + L^-8 - L^-10*M^2 + L^-10|K4a1,mK7a5]
[-L^-2*M^4 + L^-4*M^6 + 3*L^-2*M^2 - 3*L^-4*M^4 - L^-6*M^6 - 2*L^-2 + 3*L^-4*M^2 + 2*L^-6*M^4 - 2*L^-4 + 2*L^-8*M^4 - L^-6 - 4*L^-8*M^2 + L^-8 - L^-10*M^2 + L^-10|mK11a220]
[-L^-2*M^4 + L^-4*M^6 + 3*L^-2*M^2 - 3*L^-4*M^4 - L^-6*M^6 - 2*L^-2 + 3*L^-4*M^2 + 2*L^-6*M^4 - 2*L^-4 + 2*L^-8*M^4 - L^-6 - 4*L^-8*M^2 + L^-8 - L^-10*M^2 + L^-10|mK4a1,mK7a5]
[-L^-2*M^4 + L^-4*M^6 + 3*L^-2*M^2 - 3*L^-4*M^4 - L^-6*M^6 - 2*L^-2 + 3*L^-4*M^2 + 2*L^-6*M^4 - 2*L^-4 + L^-6*M^2 + L^-8*M^4 - 2*L^-6 - L^-8*M^2 - L^-8|mK10a72]
[-L^-2*M^4 + L^-4*M^6 + 3*L^-2*M^2 - 3*L^-4*M^4 - L^-6*M^6 - 2*L^-2 + 3*L^-4*M^2 + 2*L^-6*M^4 - L^-4 - L^-6*M^2 + 2*L^-8*M^4 - 3*L^-8*M^2 - L^-10*M^2|mK3a1,mK8a14]
[-L^-2*M^4 + L^-4*M^6 + 3*L^-2*M^2 - 3*L^-4*M^4 - L^-6*M^6 - 2*L^-2 + 3*L^-4*M^2 + 2*L^-6*M^4 - L^-4 - L^-6*M^2 + 2*L^-8*M^4 + L^-6 - 4*L^-8*M^2 + 2*L^-8 - L^-10*M^2 + L^-10|mK11a224]
[-L^-2*M^4 + L^-4*M^6 + 3*L^-2*M^2 - 3*L^-4*M^4 - L^-6*M^6 - 2*L^-2 + 4*L^-4*M^2 + L^-6*M^4 - 3*L^-4 + 3*L^-6*M^2 + 2*L^-8*M^4 - 3*L^-6 - 3*L^-8*M^2 - L^-10*M^2 + L^-10|K11a64]
[-L^-2*M^4 + L^-4*M^6 + 3*L^-2*M^2 - 3*L^-4*M^4 - L^-6*M^6 - 2*L^-2 + L^-4*M^2 + 4*L^-6*M^4 - 5*L^-6*M^2 + L^-8*M^4 + 3*L^-6 - 4*L^-8*M^2 + 3*L^-8 + L^-10|mK11n69]
[-L^-2*M^4 + L^-4*M^6 + 3*L^-2*M^2 - 3*L^-4*M^4 - L^-6*M^6 - 2*L^-2 + L^-4*M^2 + 4*L^-6*M^4 + L^-4 - 6*L^-6*M^2 + L^-8*M^4 + 4*L^-6 - 3*L^-8*M^2 + 2*L^-8|mK10a50]
[-L^-2*M^4 + L^-4*M^6 + 3*L^-2*M^2 - 3*L^-4*M^4 - L^-6*M^6 - L^-2 + 2*L^-4*M^2 + 2*L^-6*M^4 - L^-4 + L^-6*M^2 + 2*L^-8*M^4 - L^-6 - 5*L^-8*M^2 + 2*L^-8 - L^-10*M^2 + 2*L^-10|K11a144]
[-L^-2*M^4 + L^-4*M^6 + 3*L^-2*M^2 - 3*L^-4*M^4 - L^-6*M^6 - L^-2 + 4*L^-6*M^4 + 2*L^-4 - 5*L^-6*M^2 + L^-8*M^4 + 3*L^-6 - 3*L^-8*M^2 + L^-8|mK10a21]
[-L^-2*M^4 + L^-4*M^6 + 3*L^-2*M^2 - 3*L^-4*M^4 - L^-6*M^6 - L^-2 + 4*L^-6*M^4 + 2*L^-4 - 5*L^-6*M^2 + L^-8*M^4 + 4*L^-6 - 4*L^-8*M^2 + 3*L^-8 + L^-10|mK11n90]
[-L^-2*M^4 + L^-4*M^6 + 3*L^-2*M^2 - 3*L^-4*M^4 - L^-6*M^6 - L^-2 + 4*L^-6*M^4 + L^-4 - 4*L^-6*M^2 + L^-8*M^4 + 2*L^-6 - 4*L^-8*M^2 + 2*L^-8 + L^-10|mK11n16]
[-L^-2*M^4 + L^-4*M^6 + 3*L^-2*M^2 - 3*L^-4*M^4 - L^-6*M^6 - L^-2 + L^-4*M^2 + 3*L^-6*M^4 - 2*L^-6*M^2 + 2*L^-8*M^4 + L^-6 - 6*L^-8*M^2 + 3*L^-8 - L^-10*M^2 + 2*L^-10|mK11a310]
[-L^-2*M^4 + L^-4*M^6 + 3*L^-2*M^2 - 3*L^-4*M^4 - L^-6*M^6 - L^-2 + L^-4*M^2 + 3*L^-6*M^4 + L^-4 - 2*L^-6*M^2 + L^-8*M^4 + L^-6 - 2*L^-8*M^2|mK10a14]
[-L^-2*M^4 + L^-4*M^6 + 3*L^-2*M^2 - 3*L^-4*M^4 - L^-6*M^6 - L^-2 + L^-4*M^2 + 3*L^-6*M^4 + L^-4 - 3*L^-6*M^2 + 2*L^-8*M^4 + 3*L^-6 - 6*L^-8*M^2 + 4*L^-8 - L^-10*M^2 + 2*L^-10|K4a1,mK7a3]
[-L^-2*M^4 + L^-4*M^6 + 3*L^-2*M^2 - 3*L^-4*M^4 - L^-6*M^6 - L^-2 + L^-4*M^2 + 3*L^-6*M^4 + L^-4 - 3*L^-6*M^2 + 2*L^-8*M^4 + 3*L^-6 - 6*L^-8*M^2 + 4*L^-8 - L^-10*M^2 + 2*L^-10|mK4a1,mK7a3]
[-L^-2*M^4 + L^-4*M^6 + 3*L^-2*M^2 - 4*L^-4*M^4 - 2*L^-2 + 4*L^-4*M^2 - L^-6*M^4 - L^-4 + 2*L^-6*M^2|mK10n27]
[-L^-2*M^4 + L^-4*M^6 + 3*L^-2*M^2 - 4*L^-4*M^4 - 2*L^-2 + 5*L^-4*M^2 - 2*L^-6*M^4 - 2*L^-4 + 5*L^-6*M^2 - 2*L^-6 + L^-8*M^2 - L^-8|mK9a20]
[-L^-2*M^4 + L^-4*M^6 + 3*L^-2*M^2 - 4*L^-4*M^4 - 2*L^-2 + 5*L^-4*M^2 - 2*L^-6*M^4 - 3*L^-4 + 6*L^-6*M^2 - 4*L^-6 + L^-8*M^2 - 2*L^-8|K9a36]
[-L^-2*M^4 + L^-4*M^6 + 3*L^-2*M^2 - 4*L^-4*M^4 - 2*L^-2 + 6*L^-4*M^2 - 3*L^-6*M^4 - 3*L^-4 + 8*L^-6*M^2 - 5*L^-6 + 3*L^-8*M^2 - 4*L^-8 - L^-10|mK3a1,mK7a6]
[-L^-2*M^4 + L^-4*M^6 + 3*L^-2*M^2 - 4*L^-4*M^4 - L^-2 + 3*L^-4*M^2 - L^-6*M^4 + 3*L^-6*M^2 - L^-6 - L^-8|mK10n37]
[-L^-2*M^4 + L^-4*M^6 + 3*L^-2*M^2 - 4*L^-4*M^4 - L^-2 + 4*L^-4*M^2 - 2*L^-6*M^4 - L^-4 + 6*L^-6*M^2 - 3*L^-6 + L^-8*M^2 - 2*L^-8|K9a11]
[L^-2*M^4 - L^-4*M^6 - 3*L^-2*M^2 + 6*L^-4*M^4 + 2*L^-2 - 12*L^-4*M^2 + L^-6*M^4 + 7*L^-4 - 4*L^-6*M^2 + 4*L^-6|K10n3]
[L^-2*M^4 - L^-4*M^6 - 3*L^-2*M^2 + 6*L^-4*M^4 + 2*L^-2 - 13*L^-4*M^2 + 2*L^-6*M^4 + 9*L^-4 - 8*L^-6*M^2 + 8*L^-6 - L^-8*M^2 + 2*L^-8|mK3a1,K8n2]
[L^-2*M^4 - L^-4*M^6 + 3*L^-4*M^4 - 2*L^-2 - 3*L^-4*M^2 + 2*L^-6*M^4 - 4*L^-6*M^2 + 2*L^-6 - L^-8*M^2 + L^-8|K11n176]
[L^-2*M^4 - L^-4*M^6 + 3*L^-4*M^4 - L^-2 - 4*L^-4*M^2 + 2*L^-6*M^4 + L^-4 - 3*L^-6*M^2 + L^-6 - L^-8*M^2|K11n159]
[-L^-2*M^4 + L^-4*M^6 + 4*L^-2*M^2 - 4*L^-4*M^4 - L^-6*M^6 - 3*L^-2 + 4*L^-4*M^2 + 4*L^-6*M^4 - 2*L^-4 - 4*L^-6*M^2 + L^-8*M^4 + 2*L^-6 - 4*L^-8*M^2 + 3*L^-8 + L^-10|mK11n30]
